Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
ECH	Chile Index MSCI Ishares			0	0	0	0	0	0	0	0
ECNS	China Smallcap MSCI Ishares			0	0	0	0	0	0	0	0
ECON	Emrg Mkts Consumer Egshares			0	0	0	0	0	0	0	0
EDC	Emrg Mkts Bull 3X Direxion			0	0	0	0	0	0	0	0
EDEN	Denmark Index MSCI Ishares			0	0	0	0	0	0	0	0
EDIV	S&P Emrg Mkts Dividend SPDR			0	0	0	0	0	0	0	0
EDOG	Alps Emerging Sector Dividend			0	0	0	0	0	0	0	0
EDOM	Wisdomtree Europe Domestic Ecomony Fund			0	0	0	0	0	0	0	0
EDOW	First Trust DOW 30 Equal Weight ETF			0	0	0	0	0	0	0	0
EDV	Extended Dur Trs Idx ETF Vanguard			0	0	0	0	0	0	0	0
EDZ	Emrg Mkts Bear 3X Direxion			0	0	0	0	0	0	0	0
EEB	BRIC Guggenheim			0	0	0	0	0	0	0	0
EED	Claymore BNY BRIC ETF Indicitive Index			0	0	0	0	0	0	0	0
EEH	Spectrum Lg Cap U.S. Sector ETN Elements			0	0	0	0	0	0	0	0
EELV	S&P EM Low Vol Powershares			0	0	0	0	0	0	0	0
EEM	Emrg Mkts ETF MSCI Ishares			0	7.54	0	0	0	0	0	0
EEMD	Aam S&P Emerging Markets High Dividend Value ETF			0	0	0	0	0	0	0	0
EEMO	S&P EM Momentum Portfolio PS			0	0	0	0	0	0	0	0
EEMS	Emrg Mkts Smallcap MSCI Ishares			0	0	0	0	0	0	0	0
EEMV	Emrg Mkts Min Vol Idx MSCI Ishares			0	0	0	0	0	0	0	0
EEMX	EM Fossil Fuel Reserves MSCI ETF SPDR			0	0	0	0	0	0	0	0
EES	Smallcap Earnings Wisdomtree			0	0	0	0	0	0	0	0
EET	Ultra MSCI Emrg Mkts Proshares			0	0	0	0	0	0	0	0
EEV	Ultrashort MSCI Emrg Mkts Proshares			0	0	0	0	0	0	0	0
EFA	EAFE Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	6.36	0	0	0	0	0	0
EFAD	EAFE Dividend Growth Proshares			0	0	0	0	0	0	0	0
EFAV	EAFE Min Volatility MSCI Ishares			0	0	0	0	0	0	0	0
EFAX	EAFE Fossil Fuel Reserves Free MSCI ETF SPDR			0	0	0	0	0	0	0	0
EFFE	G-X JPM Efficiente Index ETF			0	0	0	0	0	0	0	0
EFG	EAFE Growth Index MSCI Ishares			0	0	0	0	0	0	0	0
EFNL	Finland Index MSCI Ishares			0	0	0	0	0	0	0	0
EFO	Ultra MSCI EAFE Proshares			0	0	0	0	0	0	0	0
EFU	Ultrashort MSCI EAFE Proshares			0	0	0	0	0	0	0	0
EFV	EAFE Value Index MSCI Ishares			0	0	0	0	0	0	0	0
EFZ	EAFE MSCI Short Proshares			0	0	0	0	0	0	0	0
EGI	Entree Resources Ltd	Basic Industries	Precious Metals	0	-0.024	0	173182900	0	0	0	0
EGPT	Egypt Index ETF Vaneck			0	0	0	0	0	0	0	0
EIA	Eaton Vance California Muni Bond II	Finance	Closed-End Fund - Debt	0	-0.13	4.51	0	0.53	0	0	0
EIDO	Indonesia Index MSCI Ishares			0	0	0	0	0	0	0	0
EIM	Eaton Vance Muni Bond Fund	Finance	Closed-End Fund - Debt	0	-0.08	4.92	0	0.63	0	0	0
EIO	Eaton Vance Ohio Muni Bond Fund	Finance	Closed-End Fund - Debt	0	-0.12	4.27	0	0.56	0	0	0
EIP	Eaton Vance Pennsylvania Muni Bond	Finance	Closed-End Fund - Debt	0	0.03	5.03	0	0.65	0	0	0
EIRL	Ireland Index MSCI Ishares			0	0	0	0	0	0	0	0
EIS	Israel Index MSCI Ishares			0	0	0	0	0	0	0	0
EIV	Eaton Vance Muni Bond Fund II	Finance	Closed-End Fund - Debt	0	-0.12	4.55	0	0.58	0	0	0
EKAR	Innovation Shares Nextgen Vehicles & Technology			0	0	0	0	0	0	0	0
ELD	Emrg Mkts Local Debt Wisdomtree			0	0	0	0	0	0	0	0
ELLO	Ellomay Capital Ltd Ordinary Sh			0	-0.38	0	10753170	0	0	6.1	0.91
ELMD	Electromed Inc			28.65	0.26	0	8260403	0	0	2.4	3.24
EMAG	EM Aggregate Bond Vaneck ETF			0	0	0	0	0	0	0	0
EMAN	Emagin Corp	Technology	Semiconductors	0	-0.32	0	34973330	0	-0.77	3.81	3.43
EMBH	Ishares Int-Rate Hedged EM Bond			0	0	0	0	0	0	0	0
EMBU	Direxion Emerging Markets Bond Bull 3X Shares			0	0	0	0	0	0	0	0
EMDV	Emerging Markets Proshares			0	0	0	0	0	0	0	0
EMEM	Virtus Glovista Emerging Markets ETF			0	0	0	0	0	0	0	0
EMFM	G-X Next Emerging & Frontier ETF			0	0	0	0	0	0	0	0
EMGF	Ishares MSCI Multifactor EM ETF			0	0	0	0	0	0	0	0
EMHY	Emrg Mkts High Yield Bond Fund Ishares			0	0	0	0	0	0	0	0
EMI	Eaton Vance Michigan Muni Income Trust	Finance	Closed-End Fund - Debt	0	0.388	3.57	0	0.47	0	0	0
EMIH	Db-Xt EM Bond Int Rate Hdged ETF			0	0	0	0	0	0	0	0
EMJ	Eaton Vance New Jersey Muni Bond	Finance	Closed-End Fund - Debt	0	-0.29	4.81	0	0.64	0	0	0
EMLC	Emrg Mkts Local Curr Bond ETF Vaneck			0	0	0	0	0	0	0	0
EMLP	North American Energy Infr Fund FT			0	0	0	0	0	0	0	0
EMQQ	Emrg Mkts Internet and Ecommerce Etc			0	0	0	0	0	0	0	0
EMSD	Wisdomtree Strong Dollar EM Eqty Fund			0	0	0	0	0	0	0	0
EMSH	Short-Term USD EM Bond Proshares			0	15.293	0	0	0	0	0	0
EMTL	EM Fixed Income ETF SPDR			0	0	0	0	0	0	0	0
EMTY	Proshares Decline of The Retail Store ETF			0	0	0	0	0	0	0	0
