RESULT_COUNT: 9997,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ADAP,ADAP:UW,BBG008G664R7,2018-03-12,9.16,9.3,8.95,9.06,365810.0,0.0,1.0,9.16,9.3,8.95,9.06,365810.0
ADBE,ADBE:UW,BBG000BB5BP5,2018-03-12,222.97,223.11,220.34,220.94,3164229.0,0.0,1.0,222.97,223.11,220.34,220.94,3164229.0
ADC,ADC:UN,BBG000BC9H21,2018-03-12,48.95,49.77,48.92,49.48,154101.0,0.0,1.0,48.95,49.77,48.92,49.48,154101.0
ARCT,ARCT:UW,,2018-03-12,5.65,6.535,5.56,5.91,153622.0,0.0,1.0,5.65,6.535,5.56,5.91,153622.0
ADI,ADI:UW,BBG000BB6RX0,2018-03-12,94.74,95.73,94.665,95.53,2605284.0,0.0,1.0,94.74,95.73,94.665,95.53,2605284.0
ADM,ADM:UN,BBG000BB7059,2018-03-12,43.89,44.99,43.84,44.53,7438289.0,0.0,1.0,43.89,44.99,43.84,44.53,7438289.0
ADMA,ADMA:UW,BBG002Z1LN00,2018-03-12,4.37,4.37,4.031,4.3,102465.0,0.0,1.0,4.37,4.37,4.031,4.3,102465.0
ADMP,ADMP:UW,,2018-03-12,4.35,4.35,3.65,4.0,1246433.0,0.0,1.0,4.35,4.35,3.65,4.0,1246433.0
ADMS,ADMS:UW,BBG0063ND6N9,2018-03-12,28.93,29.71,28.1801,28.73,1187553.0,0.0,1.0,28.93,29.71,28.1801,28.73,1187553.0
ADP,ADP:UW,BBG000JG1MT2,2018-03-12,118.8,119.17,117.42,117.53,1575715.0,0.0,1.0,118.8,119.17,117.42,117.53,1575715.0
ADRA,ADRA:UW,BBG000PK5FQ0,2018-03-12,35.93,35.93,35.89,35.89,1053.0,0.0,1.0,35.93,35.93,35.89,35.89,1053.0
