RESULT_COUNT: 2899,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2013-11-12,,,,498.18,,,,,,,,,1
2013-11-11,,,,502.04,,,,,,,,,1
2013-11-08,,,,502.46,,,,,,,,,1
2013-11-07,,,,503.56,,,,,,,,,1
2013-11-06,,,,508.28,,,,,,,,,1
2013-11-05,,,,501.75,,,,,,,,,1
2013-11-04,,,,505.55,,,,,,,,,1
2013-11-01,,,,504.65,,,,,,,,,1
2013-10-31,,,,499.87,,,,,,,,,1
2013-10-30,,,,502.72,,,,,,,,,1
2013-10-29,,,,505.85,,,,,,,,,1
2013-10-28,,,,504.86,,,,,,,,,1
2013-10-25,,,,506.57,,,,,,,,,1
2013-10-24,,,,501.46,,,,,,,,,1
2013-10-23,,,,502.18,,,,,,,,,1
2013-10-22,,,,502.46,,,,,,,,,1
2013-10-21,,,,495.45,,,,,,,,,1
2013-10-18,,,,496.05,,,,,,,,,1
2013-10-17,,,,494.61,,,,,,,,,1
2013-10-16,,,,487.6,,,,,,,,,1
2013-10-15,,,,482.57,,,,,,,,,1
2013-10-14,,,,489.03,,,,,,,,,1
2013-10-11,,,,491.68,,,,,,,,,1
2013-10-10,,,,489.72,,,,,,,,,1
2013-10-09,,,,483.16,,,,,,,,,1
2013-10-08,,,,480.89,,,,,,,,,1
2013-10-07,,,,477.94,,,,,,,,,1
2013-10-04,,,,480.0,,,,,,,,,1
2013-10-03,,,,478.91,,,,,,,,,1
2013-10-02,,,,484.8,,,,,,,,,1
2013-10-01,,,,484.16,,,,,,,,,1
2013-09-30,,,,482.29,,,,,,,,,1
2013-09-27,,,,482.19,,,,,,,,,1
2013-09-26,,,,485.37,,,,,,,,,1
2013-09-25,,,,486.46,,,,,,,,,1
2013-09-24,,,,490.06,,,,,,,,,1
2013-09-23,,,,490.56,,,,,,,,,1
2013-09-20,,,,485.33,,,,,,,,,1
2013-09-19,,,,492.69,,,,,,,,,1
2013-09-18,,,,494.12,,,,,,,,,1
2013-09-17,,,,479.61,,,,,,,,,1
2013-09-16,,,,477.32,,,,,,,,,1
2013-09-13,,,,476.89,,,,,,,,,1
2013-09-12,,,,472.64,,,,,,,,,1
2013-09-11,,,,474.24,,,,,,,,,1
2013-09-10,,,,479.41,,,,,,,,,1
2013-09-09,,,,475.61,,,,,,,,,1
2013-09-06,,,,473.37,,,,,,,,,1
2013-09-05,,,,470.31,,,,,,,,,1
2013-09-04,,,,471.86,,,,,,,,,1
2013-09-03,,,,472.9,,,,,,,,,1
2013-08-30,,,,477.87,,,,,,,,,1
2013-08-29,,,,477.83,,,,,,,,,1
2013-08-28,,,,480.87,,,,,,,,,1
2013-08-27,,,,479.35,,,,,,,,,1
2013-08-26,,,,479.26,,,,,,,,,1
2013-08-23,,,,482.94,,,,,,,,,1
2013-08-22,,,,479.22,,,,,,,,,1
2013-08-21,,,,475.94,,,,,,,,,1
2013-08-20,,,,481.14,,,,,,,,,1
2013-08-19,,,,477.19,,,,,,,,,1
2013-08-16,,,,481.68,,,,,,,,,1
2013-08-15,,,,486.77,,,,,,,,,1
2013-08-14,,,,493.26,,,,,,,,,1
2013-08-13,,,,497.21,,,,,,,,,1
2013-08-12,,,,499.75,,,,,,,,,1
2013-08-09,,,,503.04,,,,,,,,,1
2013-08-08,,,,505.67,,,,,,,,,1
2013-08-07,,,,504.3,,,,,,,,,1
2013-08-06,,,,502.17,,,,,,,,,1
2013-08-05,,,,504.52,,,,,,,,,1
2013-08-02,,,,508.47,,,,,,,,,1
2013-08-01,,,,509.06,,,,,,,,,1
2013-07-31,,,,503.97,,,,,,,,,1
2013-07-30,,,,507.28,,,,,,,,,1
2013-07-29,,,,505.78,,,,,,,,,1
2013-07-26,,,,504.41,,,,,,,,,1
2013-07-25,,,,501.44,,,,,,,,,1
2013-07-24,,,,499.7,,,,,,,,,1
2013-07-23,,,,507.5,,,,,,,,,1
2013-07-22,,,,506.32,,,,,,,,,1
2013-07-19,,,,506.22,,,,,,,,,1
2013-07-18,,,,506.9,,,,,,,,,1
2013-07-17,,,,502.38,,,,,,,,,1
2013-07-16,,,,503.27,,,,,,,,,1
2013-07-15,,,,505.73,,,,,,,,,1
2013-07-12,,,,498.03,,,,,,,,,1
2013-07-11,,,,496.05,,,,,,,,,1
2013-07-10,,,,488.02,,,,,,,,,1
2013-07-09,,,,486.32,,,,,,,,,1
2013-07-08,,,,483.22,,,,,,,,,1
2013-07-05,,,,476.94,,,,,,,,,1
2013-07-03,,,,479.14,,,,,,,,,1
2013-07-02,,,,479.95,,,,,,,,,1
2013-07-01,,,,479.61,,,,,,,,,1
2013-06-28,,,,485.9,,,,,,,,,1
2013-06-27,,,,482.89,,,,,,,,,1
2013-06-26,,,,482.86,,,,,,,,,1
2013-06-25,,,,476.26,,,,,,,,,1
2013-06-24,,,,470.89,,,,,,,,,1
2013-06-21,,,,471.77,,,,,,,,,1
2013-06-20,,,,465.57,,,,,,,,,1
2013-06-19,,,,479.38,,,,,,,,,1
2013-06-18,,,,490.82,,,,,,,,,1
2013-06-17,,,,487.81,,,,,,,,,1
2013-06-14,,,,485.33,,,,,,,,,1
2013-06-13,,,,484.98,,,,,,,,,1
2013-06-12,,,,478.04,,,,,,,,,1
2013-06-11,,,,482.15,,,,,,,,,1
2013-06-10,,,,485.37,,,,,,,,,1
2013-06-07,,,,486.89,,,,,,,,,1
2013-06-06,,,,483.17,,,,,,,,,1
2013-06-05,,,,477.09,,,,,,,,,1
