RESULT_COUNT: 1922,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE,CURRENCY
ADUM,ADUM:IT,BBG000FKRRC6,BBG000FKQPD0,ADUM:IT,Adumim A.D. Holdings Ltd.,,Ordinary Shares,TASE,,ILS
ADVIT 8.1 12/30/13 B1,ADVIT 8.1 12/30/13 B1:IT,BBG0000HFRK3,,ADVIT 8.1 12/30/13 B1:IT,ADVANTECH TECHNOLOGIES,Corp,DOMESTIC,TASE,,ILS
AFHL,AFHL:IT,BBG000G28MR1,BBG000G28MC7,AFHL:IT,Afcon Holdings Ltd,Equity,Ordinary Shares,TASE,2017-09-18,ILS
AFHLIT 6.1 10/16/11 B1,AFHLIT 6.1 10/16/11 B1:IT,BBG00005YPZ6,,AFHLIT 6.1 10/16/11 B1:IT,AFCON HOLDINGS LTD,Corp,DOMESTIC,TASE,,ILS
AFHLIT 6.9 03/31/17 B2,AFHLIT 6.9 03/31/17 B2:IT,BBG0016WYYJ8,,AFHLIT 6.9 03/31/17 B2:IT,AFCON HOLDINGS LTD,Corp,DOMESTIC,TASE,,ILS
AFID-L,AFID-L:IT,BBG000FK6NC8,BBG000FK6MC0,AFID-L:IT,Africa Israel Industries Ltd,Equity,Ordinary Shares,TASE,,ILS
AFIL,AFIL:IT,BBG000BK0LF9,BBG000BK0L41,AFIL:IT,Africa-Israel Investments Ltd.,Equity,Ordinary Shares,TASE,,ILS
AFIL.W8,AFIL.W8:IT,BBG004KDF9K2,BBG004KDF9J4,AFIL.W8:IT,Africa-Israel Investments Ltd.,,Warrants (31/10/2013),TASE,,ILS
AFIL.W9,AFIL.W9:IT,BBG006JCPDF7,BBG006JCPDC0,AFIL.W9:IT,Africa-Israel Investments Ltd.,,Warrants (31/03/2015),TASE,,ILS
AFINDI 5.8 09/30/14 B1,AFINDI 5.8 09/30/14 B1:IT,BBG0000M8VW8,,AFINDI 5.8 09/30/14 B1:IT,AFRICA ISRAEL INDUSTRIES,Corp,DOMESTIC,TASE,,ILS
AFISRI 7.5 05/16/25 B26,AFISRI 7.5 05/16/25 B26:IT,BBG0000WPT52,,AFISRI 7.5 05/16/25 B26:IT,AFRICA ISRAEL INVESTMENT,Corp,DOMESTIC,TASE,,ILS
AFP.C2-L,AFP.C2-L:IT,BBG00008RW01,,AFP.C2-L:IT,Africa-Israel Properties Ltd,Corp,4.65% BD CONVERT 02/10/2009 ILS 1,TASE,,ILS
AFPR,AFPR:IT,BBG000NDP230,BBG000NDP0F1,AFPR:IT,Africa-Israel Properties Ltd,Equity,Ordinary Shares,TASE,2015-12-01,ILS
AFPRIT 4.15 05/17/15 B3,AFPRIT 4.15 05/17/15 B3:IT,BBG00171TQJ8,,AFPRIT 4.15 05/17/15 B3:IT,AFRICA ISRAEL PROPERTIES,Corp,DOMESTIC,TASE,,ILS
AFRE,AFRE:IT,BBG000R0VMV2,BBG000R0VMG9,AFRE:IT,Africa Israel Residence Ltd.,Equity,Ordinary Shares,TASE,2018-05-17,ILS
AFREIT 5.9 12/20/16 B1,AFREIT 5.9 12/20/16 B1:IT,BBG0000CXHB6,,AFREIT 5.9 12/20/16 B1:IT,AFRICA ISRAEL RESIDENCE,Corp,DOMESTIC,TASE,,ILS
AFSK,AFSK:IT,BBG000BV7HD9,BBG000BV7H49,AFSK:IT,A.F.S.K. Industries Ltd.,,Ordinary Shares,TASE,,ILS
AFSK.C1,AFSK.C1:IT,BBG0000FB0V8,,AFSK.C1:IT,A.F.S.K. Industries Ltd.,Corp,FR BD CONVERT 05/08/2012 ILS 1,TASE,,ILS
AFYRIT 5.5 05/31/15 B1,AFYRIT 5.5 05/31/15 B1:IT,BBG0000DVST3,,AFYRIT 5.5 05/31/15 B1:IT,AFIK HAYARDEN MAINTENAN,Corp,DOMESTIC,TASE,,ILS
AIPIT 4.65 07/10/18 B3,AIPIT 4.65 07/10/18 B3:IT,BBG0000388T5,,AIPIT 4.65 07/10/18 B3:IT,HADERA PAPER LTD,Corp,DOMESTIC,TASE,,ILS
AIPIT 5.85 11/30/17 B5,AIPIT 5.85 11/30/17 B5:IT,BBG0000NJR26,,AIPIT 5.85 11/30/17 B5:IT,HADERA PAPER LTD,Corp,DOMESTIC,TASE,,ILS
AIPIT 7.45 07/10/15 B4,AIPIT 7.45 07/10/15 B4:IT,BBG0000C8DR6,,AIPIT 7.45 07/10/15 B4:IT,HADERA PAPER LTD,Corp,DOMESTIC,TASE,,ILS
ALBA,ALBA:IT,BBG000BF62Z4,BBG000BF62N7,ALBA:IT,Albaad Massuot Yitzhak Ltd.,Equity,Ordinary Shares,TASE,2017-11-26,ILS
ALBAIT 4.17 02/20/15 B8,ALBAIT 4.17 02/20/15 B8:IT,BBG0000FFNK6,,ALBAIT 4.17 02/20/15 B8:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT 5 04/20/13 B3,ALBAIT 5 04/20/13 B3:IT,BBG0000PWP93,,ALBAIT 5 04/20/13 B3:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT 5.75 01/20/13 B6,ALBAIT 5.75 01/20/13 B6:IT,BBG0000RLG91,,ALBAIT 5.75 01/20/13 B6:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT 5.8 01/20/14 B4,ALBAIT 5.8 01/20/14 B4:IT,BBG0000PWPP5,,ALBAIT 5.8 01/20/14 B4:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT 7.9 01/20/14 B5,ALBAIT 7.9 01/20/14 B5:IT,BBG0000PWPN7,,ALBAIT 7.9 01/20/14 B5:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT F 02/21/16 B9,ALBAIT F 02/21/16 B9:IT,BBG0000FBMF8,,ALBAIT F 02/21/16 B9:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALBAIT F 12/01/14 B7,ALBAIT F 12/01/14 B7:IT,BBG00009B6C0,,ALBAIT F 12/01/14 B7:IT,ALBAR MIMUNIT,Corp,DOMESTIC,TASE,,ILS
ALD,ALD:IT,BBG000BRBN95,BBG000BRBN22,ALD:IT,A.L.D. Advanced Logistics Developments Ltd.,Equity,Ordinary Shares,TASE,2015-06-28,ILS
ALD.R2,ALD.R2:IT,BBG00BT2QTM3,BBG00BT2QTL4,ALD.R2:IT,A.L.D. Advanced Logistics Developments Ltd.,Equity,Tradeable Rights - Jan 2016,TASE,,ILS
ALD.W2,ALD.W2:IT,BBG001S36DS5,BBG001S36DR6,ALD.W2:IT,A.L.D. Advanced Logistics Developments Ltd.,,Warrants (17/05/2015),TASE,,ILS
ALD.W3,ALD.W3:IT,BBG009NP1FN9,BBG009NP1FM0,ALD.W3:IT,A.L.D. Advanced Logistics Developments Ltd.,Equity,Warrants(14/07/2019),TASE,,ILS
ALGS,ALGS:IT,BBG000Q93BN8,BBG000Q93B76,ALGS:IT,Alon Natural Gas Exploration Ltd,Equity,Ordinary Shares,TASE,2018-04-01,ILS
ALGS,ALGS:IT,BBG000Q93BN8,BBG000Q93B76,ALGS:IT,Alon Natural Gas Exploration Ltd,,Ordinary Shares,TASE,,SAR
ALHE,ALHE:IT,BBG000FKRYJ4,BBG000FKRY68,ALHE:IT,Alony Hetz Properties & Investments Ltd.,Equity,Ordinary Shares,TASE,2018-08-30,ILS
ALHE.C4,ALHE.C4:IT,BBG0000FHSK3,,ALHE.C4:IT,Alony Hetz Properties & Investments Ltd.,Corp,FR BD REDCONV 20/11/2012 ILS,TASE,,ILS
ALHEIT 4.25 02/28/19 B6,ALHEIT 4.25 02/28/19 B6:IT,BBG000086754,,ALHEIT 4.25 02/28/19 B6:IT,ALONY HETZ PPTY & INV,Corp,DOMESTIC,TASE,,ILS
ALHEIT 4.75 11/05/13 B3,ALHEIT 4.75 11/05/13 B3:IT,BBG000079X83,,ALHEIT 4.75 11/05/13 B3:IT,ALONY HETZ PPTY & INV,Corp,DOMESTIC,TASE,,ILS
ALHE.W10,ALHE.W10:IT,BBG004RJRCN9,BBG004RJRCM0,ALHE.W10:IT,Alony Hetz Properties & Investments Ltd.,Equity,Warrants (10/06/2016),TASE,,ILS
ALHE.W11,ALHE.W11:IT,BBG006X0F3T5,BBG006X0F3S6,ALHE.W11:IT,Alony Hetz Properties & Investments Ltd.,,Warrants (26/02/2015),TASE,,ILS
ALINIT 6 08/31/12 B1,ALINIT 6 08/31/12 B1:IT,BBG000063R93,,ALINIT 6 08/31/12 B1:IT,ALLIANCE TIRE CO,Corp,DOMESTIC,TASE,,ILS
ALINIT 6.55 08/31/16 B2,ALINIT 6.55 08/31/16 B2:IT,BBG0016X4TT9,,ALINIT 6.55 08/31/16 B2:IT,ALLIANCE TIRE CO,Corp,DOMESTIC,TASE,,ILS
