RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
ACWF,ACWF:UP,BBG008LNZJ17,2018-09-04,30.87,30.87,30.55,30.6921,12212.0,0.0,1.0,30.87,30.87,30.55,30.6921,12212.0,1
ACWI,ACWI:UW,BBG000TH6X92,2018-09-04,73.4,73.47,73.12,73.4,2265569.0,0.0,1.0,73.4,73.47,73.12,73.4,2265569.0,1
ACWV,ACWV:UF,BBG0025X3922,2018-09-04,86.44,86.639,86.37,86.6,199995.0,0.0,1.0,86.44,86.639,86.37,86.6,199995.0,1.0
ACWX,ACWX:UW,BBG000TH7FP2,2018-09-04,46.84,46.92,46.72,46.9,487586.0,0.0,1.0,46.84,46.92,46.72,46.9,487586.0,1
ACXM,ACXM:UW,BBG000BB4VV5,2018-09-04,45.46,46.39,45.41,46.05,605769.0,0.0,1.0,45.46,46.39,45.41,46.05,605769.0,1
ACY,ACY:UA,BBG000B9WPP9,2018-09-04,16.7,16.8,16.1873,16.4,2510.0,0.0,1.0,16.7,16.8,16.1873,16.4,2510.0,1
ADAP,ADAP:UW,BBG008G664R7,2018-09-04,11.49,11.54,10.45,10.94,511200.0,0.0,1.0,11.49,11.54,10.45,10.94,511200.0,1
ADBE,ADBE:UW,BBG000BB5BP5,2018-09-04,263.67,266.93,262.3,266.68,2100001.0,0.0,1.0,263.67,266.93,262.3,266.68,2100001.0,1
ADC,ADC:UN,BBG000BC9H21,2018-09-04,57.36,57.49,56.36,56.6,190121.0,0.0,1.0,57.36,57.49,56.36,56.6,190121.0,1
ARCT,ARCT:UW,BBG003TQYJG8,2018-09-04,8.04,8.1,7.9,8.0,15912.0,0.0,1.0,8.04,8.1,7.9,8.0,15912.0,1
ADI,ADI:UW,BBG000BB6RX0,2018-09-04,97.49,98.89,97.11,98.11,4014900.0,0.0,1.0,97.49,98.89,97.11,98.11,4014900.0,1
ADM,ADM:UN,BBG000BB7059,2018-09-04,50.3,50.4,49.79,50.08,3451523.0,0.0,1.0,50.3,50.4,49.79,50.08,3451523.0,1
ADMA,ADMA:UW,BBG002Z1LN00,2018-09-04,6.5,6.5,6.25,6.46,140557.0,0.0,1.0,6.5,6.5,6.25,6.46,140557.0,1
ADMP,ADMP:UW,BBG000BYB544,2018-09-04,2.9,3.05,2.8,2.85,1194651.0,0.0,1.0,2.9,3.05,2.8,2.85,1194651.0,1
ADMS,ADMS:UW,BBG0063ND6N9,2018-09-04,22.89,23.15,22.335,22.93,273660.0,0.0,1.0,22.89,23.15,22.335,22.93,273660.0,1
ADP,ADP:UW,BBG000JG1MT2,2018-09-04,144.35,146.14,144.19,145.81,3337719.0,0.0,1.0,144.35,146.14,144.19,145.81,3337719.0,1
ADRA,ADRA:UW,BBG000PK5FQ0,2018-09-04,33.4122,33.4122,33.4122,33.4122,206.0,0.0,1.0,33.4122,33.4122,33.4122,33.4122,206.0,1
ADRD,ADRD:UW,BBG000PK4Y44,2018-09-04,22.07,22.1599,22.07,22.12,9117.0,0.0,1.0,22.07,22.1599,22.07,22.12,9117.0,1
ADRE,ADRE:UW,BBG000FQ6F05,2018-09-04,40.51,40.51,40.221,40.27,12172.0,0.0,1.0,40.51,40.51,40.221,40.27,12172.0,1
ADRO,ADRO:UW,BBG0088NM482,2018-09-04,7.35,7.35,6.95,7.35,221231.0,0.0,1.0,7.35,7.35,6.95,7.35,221231.0,1
ADRU,ADRU:UW,BBG000B9YX16,2018-09-04,21.41,21.41,21.41,21.41,467.0,0.0,1.0,21.41,21.41,21.41,21.41,467.0,1
ADS,ADS:UN,BBG000BFNSP9,2018-09-04,238.45,239.37,235.44,236.9,364647.0,0.0,1.0,238.45,239.37,235.44,236.9,364647.0,1
ADSK,ADSK:UW,BBG000BM7TD3,2018-09-04,154.17,154.48,152.29,153.59,1503663.0,0.0,1.0,154.17,154.48,152.29,153.59,1503663.0,1
ADTN,ADTN:UW,BBG000C4KDF0,2018-09-04,17.2,17.25,16.85,16.95,179533.0,0.0,1.0,17.2,17.25,16.85,16.95,179533.0,1
ADUS,ADUS:UW,BBG000NJJ118,2018-09-04,64.75,67.2,64.75,66.35,144388.0,0.0,1.0,64.75,67.2,64.75,66.35,144388.0,1
ADX,ADX:UN,BBG000BB8PZ0,2018-09-04,16.53,16.56,16.47,16.52,132706.0,0.0,1.0,16.53,16.56,16.47,16.52,132706.0,1
ADXS,ADXS:UW,BBG000KVF975,2018-09-04,1.46,1.58,1.46,1.49,539155.0,0.0,1.0,1.46,1.58,1.46,1.49,539155.0,1
