RESULT_COUNT: 596,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
NTGR,NTGR:IT,BBG000FKQM10,2018-09-04,5.03,5.03,4.98,5.029,6734.0,0.0,1.0,5.03,5.03,4.98,5.029,6734.0,1.0
SRAC,SRAC:IT,BBG000KBV4G2,2018-09-04,17.27,17.44,17.27,17.44,8324.0,0.0,1.0,17.27,17.44,17.27,17.44,8324.0,1.0
SRFT,SRFT:IT,BBG000G20079,2018-09-04,11.6,11.74,11.6,11.68,385.0,0.0,1.0,11.6,11.74,11.6,11.68,385.0,1.0
IES,IES:IT,BBG000G204H0,2018-09-04,174.9,175.6,172.8,174.1,1327.0,0.0,1.0,174.9,175.6,172.8,174.1,1327.0,1.0
MCTC,MCTC:IT,BBG000G20685,2018-09-04,0.53,0.532,0.518,0.525,95263.0,0.0,1.0,0.53,0.532,0.518,0.525,95263.0,1.0
ISCN,ISCN:IT,BBG000M3B0D1,2018-09-04,3.11,3.11,3.048,3.0660000000000003,87546.0,0.0,1.0,3.11,3.11,3.048,3.0660000000000003,87546.0,1.0
CRMT,CRMT:IT,BBG000KP6HQ9,2018-09-04,10.3,10.69,10.69,10.4,50.0,0.0,1.0,10.3,10.69,10.69,10.4,50.0,1.0
CISY,CISY:IT,BBG000FMPV62,2018-09-04,5.792000000000001,,,5.792000000000001,0.0,0.0,1.0,5.792000000000001,,,5.792000000000001,0.0,1.0
AVIV,AVIV:IT,BBG000FLM3Q7,2018-09-04,11.59,,,11.59,0.0,0.0,1.0,11.59,,,11.59,0.0,1.0
MTRX,MTRX:IT,BBG000PB0382,2018-09-04,44.11,44.2,42.6,42.79,100059.0,0.0,1.0,44.11,44.2,42.6,42.79,100059.0,1.0
